trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.6570468198150567}",25,12,-92.69066003037541,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 2}",1
43,False,"{'a': 0.2, 'e': 0.6505090947233165}",25,0,-64.82537957524683,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.2, 'e': 0.6440364210831414}",20,3,-89.78439239219955,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
45,False,"{'a': 0.2, 'e': 0.6376281516217733}",20,0,-57.66091456306338,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
46,False,"{'a': 0.2, 'e': 0.631283645506926}",30,0,-198.2854393856589,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
47,False,"{'a': 0.2, 'e': 0.6250022682827008}",25,9,-48.228902395962365,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
48,False,"{'a': 0.2, 'e': 0.6187833918061408}",20,0,-152.72699993955513,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
49,False,"{'a': 0.2, 'e': 0.6126263941844161}",20,0,-103.72294106439345,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
50,False,"{'a': 0.2, 'e': 0.6065306597126334}",30,3,-79.48771841365611,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 1}",1
51,False,"{'a': 0.2, 'e': 0.6004955788122659}",25,3,-66.76668421123357,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
52,False,"{'a': 0.2, 'e': 0.5945205479701944}",20,5,-32.00902422035023,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.5886049696783552}",25,0,-87.10158139722061,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.5827482523739896}",20,0,-30.9170868904982,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.2, 'e': 0.5769498103804866}",25,0,-37.74505839592268,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.2, 'e': 0.5712090638488149}",20,0,-17.357040147894164,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.2, 'e': 0.5655254386995371}",30,0,-123.10529334379538,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
58,False,"{'a': 0.2, 'e': 0.559898366565402}",30,0,-110.2288245749699,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.2, 'e': 0.5543272847345071}",35,0,-111.67266252401467,"{0: 26, 1: 1, 2: 5, 3: 2, 4: 1}",0
60,False,"{'a': 0.2, 'e': 0.5488116360940265}",30,0,-149.1939846703454,"{0: 19, 1: 3, 2: 2, 3: 5, 4: 1}",0
61,False,"{'a': 0.2, 'e': 0.5433508690744998}",20,0,-5.743253744368067,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.5379444375946745}",20,12,3.1755308973917815,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.5325918010068972}",25,0,-49.68164782881666,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
64,False,"{'a': 0.2, 'e': 0.5272924240430485}",30,3,-35.06850040158522,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 1}",1
65,False,"{'a': 0.2, 'e': 0.522045776761016}",20,0,-136.96393639916104,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",1
66,False,"{'a': 0.2, 'e': 0.5168513344916992}",25,0,-25.001286475844065,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
67,False,"{'a': 0.2, 'e': 0.5117085777865424}",25,0,-58.18130229040694,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.2, 'e': 0.5066169923655895}",20,2,-110.80290721523734,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
69,False,"{'a': 0.2, 'e': 0.5015760690660555}",20,11,-20.677732171322752,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.49658530379140947}",25,0,-129.79995835651604,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
71,False,"{'a': 0.2, 'e': 0.4916441974609651}",25,19,10.249511028531309,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.2, 'e': 0.4867522559599717}",20,0,-7.869485239463503,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.2, 'e': 0.48190899009020244}",25,0,-92.35566363183041,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
74,False,"{'a': 0.2, 'e': 0.4771139155210344}",25,0,-17.388132485852935,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.2, 'e': 0.4723665527410147}",20,0,-54.34208226610822,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
76,False,"{'a': 0.2, 'e': 0.46766642700990924}",20,0,-31.69258883911838,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
77,False,"{'a': 0.2, 'e': 0.46301306831122807}",25,0,-64.33168398190733,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.2, 'e': 0.4584060113052235}",20,4,-37.180514658797215,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.2, 'e': 0.45384479528235583}",25,8,-67.59792125116037,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 1}",1
80,False,"{'a': 0.2, 'e': 0.44932896411722156}",20,4,-15.543287368257651,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.2, 'e': 0.4448580662229411}",30,15,-94.54127036803541,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 2}",1
82,False,"{'a': 0.2, 'e': 0.44043165450599925}",35,11,-15.10170300645288,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.2, 'e': 0.43604928632153556}",20,3,-22.83238360544716,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.2, 'e': 0.43171052342907973}",35,0,-22.796308415654313,"{0: 29, 1: 1, 2: 5, 3: 0, 4: 0}",0
85,False,"{'a': 0.2, 'e': 0.4274149319487267}",25,0,-62.0903182341207,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",1
86,False,"{'a': 0.2, 'e': 0.4231620823177488}",20,0,16.359561593846273,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.2, 'e': 0.418951549247639}",20,11,7.802448792276765,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.2, 'e': 0.4147829116815814}",25,0,13.568927412157331,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.2, 'e': 0.4106557527523455}",20,3,14.865159173402148,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.4065696597405991}",20,0,19.99114459982311,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.2, 'e': 0.40252422403363597}",20,0,-35.96946599684031,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.2, 'e': 0.39851904108451414}",20,1,-44.5796552303732,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
93,False,"{'a': 0.2, 'e': 0.3945537103716011}",30,12,17.75001088498925,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.2, 'e': 0.3906278353585211}",25,3,-38.73735688791557,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.2, 'e': 0.3867410234545012}",20,6,22.46324917189491,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.38289288597511206}",25,0,-149.5135926154817,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 3}",0
97,False,"{'a': 0.2, 'e': 0.37908303810339883}",30,20,18.537467588574977,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.2, 'e': 0.37531109885139957}",25,0,-29.911058010934745,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
99,False,"{'a': 0.2, 'e': 0.3715766910220457}",20,0,-72.71617419972337,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",1
100,False,"{'a': 0.2, 'e': 0.36787944117144233}",25,8,-38.69539485858279,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.2, 'e': 0.3642189795715233}",30,23,12.886646128772606,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.2, 'e': 0.3605949401730783}",25,5,-8.376122118163021,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.2, 'e': 0.3570069605691474}",20,0,-108.20575983201569,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
104,False,"{'a': 0.2, 'e': 0.35345468195878016}",30,11,-19.172552324389272,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.2, 'e': 0.3499377491111553}",30,0,-133.33689967784835,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
106,False,"{'a': 0.2, 'e': 0.3464558103300574}",25,13,17.384844869791362,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.2, 'e': 0.34300851741870664}",20,0,-37.922497493220476,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
108,False,"{'a': 0.2, 'e': 0.3395955256449391}",25,0,22.56707190755286,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.2, 'e': 0.3362164937067333}",25,12,21.41306727473796,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.2, 'e': 0.33287108369807955}",20,16,7.187932543872109,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.32955896107518906}",25,0,-6.417765736100911,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
112,False,"{'a': 0.2, 'e': 0.32627979462303947}",20,14,10.10286305842842,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.2, 'e': 0.3230332564222529}",30,0,-61.481836032897284,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
114,False,"{'a': 0.2, 'e': 0.31981902181630384}",20,6,-28.836505716946814,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.2, 'e': 0.31663676937905316}",25,2,-33.215624768967615,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 1}",1
116,False,"{'a': 0.2, 'e': 0.3134861808826053}",30,16,28.616599194563115,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.2, 'e': 0.31036694126548503}",20,0,-11.551886367383949,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
118,False,"{'a': 0.2, 'e': 0.30727873860113125}",30,8,-21.955728410482973,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.2, 'e': 0.3042212640667041}",30,7,-22.422120792729416,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
